,Brand,Model No,Tot Vol,Labelled energy consumption (kWh/year)
4392,Imprasio,IMTMF181,181,228
4393,Imprasio,IMTMF415,415,329
4394,Imprasio,IMUF366,366,379
4395,CHIQ,CCF199WE,199,155
4396,CHIQ,CCF198BE,199,155
4397,CHIQ,CCF142WE,142,134
4398,CHIQ,CCF141BE,142,134
4399,CHIQ,CCF14***,142,134
4400,CHIQ,CCF19***,199,155
4401,Kogan,KAH75BARFRA,75,124
4402,Kogan,KAH75BARFRB,75,124
4403,Kogan,KAH75BARFRC,75,124
4404,Kogan,KAH75BARFRD,75,124
4405,Kogan,KAH75BARFRE,75,124
4406,Kogan,KAH75BARFR*,75,124
4407,FISHER & PAYKEL,RB60V18,238,239
4408,Haier,HRF520BG2,493,306
4409,Haier,HRF520B Series,493,306
4410,Haier,HRF520BG,493,306
4411,Haier,HRF520BW,493,306
4412,Haier,HRF520BS,493,306
4413,Haier,HRF520BHC,493,306
4414,Trade Tested,922002,122,108
4415,HISENSE,HRBC140,153,160
4416,HISENSE,HRCD586TBWB,585,521
4417,Trade Tested,987701,150,240
4418,Nulon,IA5682,98,111
4419,Mistral,MBF117RW,117,130
4420,Mistral,MBF117RW-F,117,130
4421,FISHER & PAYKEL,RS6121FLJK1,336,398
4422,FISHER & PAYKEL,RS6121FRJK1,336,398
4423,FISHER & PAYKEL,RS6121F series,336,398
4424,Craig&Russell,HD-286FWENM,203,283
4425,Midea,MDRC280FZF01AP,198,255
4426,Midea,MDRC405FZF01AP,290,311
4427,Midea,MDRC564FZF01AP,418,368
4428,Midea,MDRD130FGF01AP,84,175
4429,Craig&Russell,HS-384CN,290,304
4430,Panasonic,NR-XY680L,618,395
4431,Craig&Russell,HS-259CN(S2),199,255
4432,Craig&Russell,HD-113FN,87,207
4433,Trade Tested,959273,532,452
4434,Midea,MDRD181FGF01AP,123,147
4435,Midea,MDRU333FGF02AP,238,306
4436,Midea,MDRT437MTF02AP,314,347
4437,Midea,MDRT134FGF09AP,87,207
4438,Solt,GGSBF91DS,87,207
4439,Solt,GGSBF91S,87,207
4440,Solt,GGSBF91W,87,207
4441,Solt,GGSBF91X,87,207
4442,Solt,GGSBF91B,87,207
4443,Solt,GGSBF91 Series,87,207
4444,Solt,GGSBC44B,44,75
4445,Solt,GGSBC44S,44,75
4446,Solt,GGSBC44W,44,75
4447,Solt,GGSBC44X,44,75
4448,Solt,GGSBC44DS,44,75
4449,Solt,GGSBM325DS,325,277
4450,Solt,GGSBM325B,325,277
4451,Solt,GGSBM325S,325,277
4452,Solt,GGSBM325 Series,325,277
4453,LIEBHERR,CNef 4315,350,187
4454,Omega,OBMF243FI,242,280
4455,Craig&Russell,HS-259CN(S2),195,108
4456,FISHER & PAYKEL,RS7621FLJK1,442,427
4457,FISHER & PAYKEL,RS7621FRJK1,442,427
4458,FISHER & PAYKEL,RS7621F series,442,427
4459,Bertazzoni,LRD603UBNPVC-AU,294,140
4460,Solt,GGSBC44 Series,44,75
4461,Haier,HRF200TW,197,238
4462,Haier,HRF200TS,197,238
4463,Haier,HRF200TW-LH,197,238
4464,Haier,HRF200TS-LH,197,238
4465,Haier,HRF200T Series,197,238
4466,TECO,TVF91WMAH,91,166
4467,TECO,TVF91BMAH,91,166
4468,TECO,TVF91SMAH,91,166
4469,TECO,TVF91*MAH,91,166
4470,TCL,P204SDW,204,258
4471,TCL,P204SDN,204,258
4472,TCL,P204SDS,204,258
4473,TCL,P204SD*,204,258
4474,Robinhood,RHBFD121W,121,109
4475,Artusi,AINT3000,244,300
4476,Robinhood,RHUTMF85W,85,184
4477,Bertazzoni,FRZ603UBNPTC-AU,197,208
4478,ELECTROLUX,EBE4302BD,425,232
4479,ELECTROLUX,EBE4302**,425,232
4480,ELECTROLUX,EBE4302BD-R,425,232
4481,ELECTROLUX,EBE4302SD,425,232
4482,ELECTROLUX,EBE4302SD-R,425,232
4483,ELECTROLUX,EBE5002SD-R,496,254
4484,ELECTROLUX,EBE5002BD-R,496,254
4485,ELECTROLUX,EBE500***,496,254
4486,ELECTROLUX,EBE5002BD-L,496,254
4487,ELECTROLUX,EBE5007BD-R,496,254
4488,ELECTROLUX,EBE5007BD-L,496,254
4489,ELECTROLUX,EBE5002SD,496,254
4490,ELECTROLUX,EBE5002BD,496,254
4491,ELECTROLUX,EBE5007BD,496,254
4492,LIEBHERR,SUIKo 1550,132,108
4493,Dometic,NRX1115,113,200
4494,Dometic,RCD10.5XES,200,270
4495,Bertazzoni,REF603BBNPVC-AU,242,280
4496,FISHER & PAYKEL,RS4621FLJK1,220,314
4497,FISHER & PAYKEL,RS4621FRJK1,220,314
4498,FISHER & PAYKEL,RS4621F series,220,314
4499,MITSUBISHI ELECTRIC,MF-U218ET-W-A,218,241
4500,MITSUBISHI ELECTRIC,MF-U218ET-SS-A,218,241
4501,MITSUBISHI ELECTRIC,MF-U218ET-SDS-A,218,241
4502,MITSUBISHI ELECTRIC,MF-U218ET series,218,241
4503,Germanica,GR48LTBF,43,95
4504,TCL,P445BFW,416,273
4505,TCL,P445BFS,416,273
4506,TCL,P445BFN,416,273
4507,TCL,P445BFG,416,273
4508,TCL,P445BFC,416,273
4509,TCL,P445BFB,416,273
4510,TCL,P445BF*,416,273
4511,FISHER & PAYKEL,RS7621SLHK1,463,203
4512,FISHER & PAYKEL,RS7621SRHK1,463,203
4513,FISHER & PAYKEL,RS7621SLK1,463,203
4514,FISHER & PAYKEL,RS7621SRK1,463,203
4515,FISHER & PAYKEL,RS7621S series,463,203
4516,FISHER & PAYKEL,RS6121SLHK1,351,192
4517,FISHER & PAYKEL,RS6121SRHK1,351,192
4518,FISHER & PAYKEL,RS6121SLK1,351,192
4519,FISHER & PAYKEL,RS6121SRK1,351,192
4520,FISHER & PAYKEL,RS6121S series,351,192
4521,Ilve,ILBC142BVL,146,141
4522,Ilve,ILBC142BVR,146,141
4523,Ilve,ILBC142XL,146,141
4524,Ilve,ILBC142XR,146,141
4525,CHIQ,CRSR125DB,125,121
4526,Haier,HRF340BS2,315,375
4527,Haier,HRF340BW2,315,375
4528,Haier,HRF340B Series,315,375
4529,Kogan,KAHFTMF197L,197,238
4530,Kogan,KAHFTMF197M,197,238
4531,Kogan,KAHFTMF197N,197,238
4532,Kogan,KAHFTMF197*,197,238
4533,Midea,MDRC207FZF01AP,142,243
4534,Midea,MDRC207FZF01AP,142,94
4535,EUROMATIC,EUR-BF41,48,105
4536,HISENSE,HRCD483TBW,483,344
4537,HISENSE,HRCD483TS,483,344
4538,HISENSE,HRCD483T_Series,483,344
4539,Ilve,ILBC142 series,146,141
4540,Imprasio,IMSBS513,513,484
4541,Trade Tested,938680,323,401
4542,PARMCO,FR253SBMFF,230,304
4543,PARMCO,FR362STMFF,334,319
4544,PARMCO,FR85WUBFF,85,184
4545,PARMCO,CF142W,142,217
4546,PARMCO,CF246W,246,279
4547,PARMCO,CF371W,371,380
4548,PARMCO,CF688W,688,480
4549,Schmick,MSL330 Schmick,260,187
4550,Solt,GGSBF95BG,93,108
4551,Solt,GGSBF95W,93,108
4552,Solt,GGSBF95S,93,108
4553,Solt,GGSBF95X,93,108
4554,Solt,GGSBF95IV,93,108
4555,Solt,GGSBF95WG,93,108
4556,Solt,GGSBF95 series,93,108
4557,Solt,GGSTM203DS,203,272
4558,Solt,GGSTM203W,203,272
4559,Solt,GGSTM203S,203,272
4560,Solt,GGSTM203 Series,203,272
4561,CHIQ,CSR046DW,46,88
4562,CHIQ,CSR120DW,126,133
4563,CHIQ,CTM086DW,86,167
4564,Schmick,MSLF241 Schmick,248,256
4565,Devanti,BF-F-48L-*,45,230
4566,Devanti,BF-F-48L-BK,45,97
4567,Devanti,BF-F-48L-WH,45,97
4568,Devanti,BF-F-48L-*,45,97
4569,Devanti,BF-F-70L-BK,58,104
4570,Devanti,BF-F-70L-WH,58,104
4571,Devanti,BF-F-70L-*,58,104
4572,Imprasio,IMTMF125SS,125,204
4573,Devanti,BF-F-95L-BK,81,128
4574,Devanti,BF-F-95L-WH,81,128
4575,Devanti,BF-F-95L-*,81,128
4576,Devanti,UPF-60L-WH,42,173
4577,Devanti,UPF-60L-BK,42,173
4578,Devanti,UPF-60L-SR,42,173
4579,Devanti,UPF-60L-*,42,173
4580,TCL,F155CFW,142,217
4581,TCL,F205CFW,198,229
4582,CHIQ,CCD499NWS,503,397
4583,CHIQ,CCD500NS,503,397
4584,CHIQ,CCD502NBS,503,397
4585,CHIQ,CCD503NB,503,397
4586,CHIQ,CCD***N**,503,397
4587,HELLER,ECF200,198,229
4588,SAMSUNG ELECTRONICS,SRF5300BD,495,400
4589,SAMSUNG ELECTRONICS,SRF5300SD,495,400
4590,LG,GF-V500MBLC,508,500
4591,LG,GF-VN500PL,508,500
4592,LG,GF-V500,508,500
4593,CHIQ,CCF700WE,700,361
4594,CHIQ,CCF series,700,361
4595,CHIQ,CCF699BE,700,361
4596,Throne,MSLF241 Throne,248,256
4597,Schmick,MSLF241,248,256
4598,Throne,MSLF241,248,256
4599,BEKO,BBMB445PX,445,326
4600,BEKO,BBMB445PDX,445,326
4601,CHIQ,CCF500WE,500,272
4602,CHIQ,CCF****E,500,272
4603,CHIQ,CCF499BE,500,272
4604,CHIQ,CTM255NW5E,255,200
4605,CHIQ,CTM254NB5E,255,200
4606,CHIQ,CTM253NBS5E,255,200
4607,CHIQ,CTM252NSS5E,255,200
4608,CHIQ,CTM250 series,255,200
4609,LG,GS-N600PL,635,498
4610,LG,GS-L600PL,635,498
4611,LG,GS-L600MBL,635,498
4612,LG,GS-*600***,635,498
4613,TECO,TFF334WNTAH,334,319
4614,TECO,TFF334SNTAH,334,319
4615,TECO,TFF334*NTAH,334,319
4616,TCL,C440BFW,412,249
4617,TCL,C440BFN,412,249
4618,TCL,C440BFG,412,249
4619,TCL,C440BFC,412,249
4620,TCL,C440BFB,412,249
4621,TCL,C440BFS,412,249
4622,TCL,C440BF*,412,249
4623,Harbour,HBRBC93B2,93,100
4624,Coldstream,CFHO200N,198,229
4625,Linarie,LK200DDRED,209,250
4626,Linarie,LK200DDBLACK,209,250
4627,Linarie,LK200DDPINK,209,250
4628,Linarie,LK200DDBLUE,209,250
4629,Linarie,LK200DDGREEN,209,250
4630,Linarie,LK200DD,209,250
4631,Linarie,LK200DDCREAM,209,250
4632,HELLER,PPR240,242,130
4633,Robinhood,RHBFD78W,78,239
4634,Haier,HRF420BEC,433,155
4635,HELLER,HBC130,115,160
4636,Artusi,AFDF620X,488,470
4637,Artusi,AFDF620B,488,470
4638,Artusi,AFDF620*,488,470
4639,yokohama,YOKBF288W,287,303
4640,yokohama,YOKF480S,480,398
4641,yokohama,YOKFF204W,204,258
4642,yokohama,YOKF197WA,197,238
4643,Artusi,AINT7600,449,488
4644,Coldstream,CFHO316N,308,342
4645,yokohama,YOKFF510W,510,498
4646,SAMSUNG ELECTRONICS,SRL4600S,458,350
4647,yokohama,YOKFF366W,366,379
4648,SAMSUNG ELECTRONICS,SRL4600B,458,350
4649,TECO,TVF161WNAH,161,232
4650,TECO,TVF161SNAH,161,232
4651,TECO,TVF161*NAH,161,232
4652,Robinhood,RHTMF197W,197,238
4653,Robinhood,RHTMF197X,197,238
4654,Robinhood,RHTMF197 series,197,238
4655,Airflo,AFF046,48,122
4656,Airflo,AFF070,70,139
4657,CHIQ,CCD598NWS,601,391
4658,CHIQ,CCD596NS,601,391
4659,CHIQ,CCD601NBS,601,391
4660,CHIQ,CCD597NB,601,391
4661,TCL,P220TMW,197,238
4662,TCL,P220TMS,197,238
4663,meisda,SC130,130,189
4664,KOLNER,fdg-yge-bc-130L,130,189
4665,KOLNER,SC130,130,189
4666,meisda,SC68,68,155
4667,KOLNER,fdg-yge-bc-70L,68,155
4668,KOLNER,SC68,68,155
4669,GAGGENAU,RF461306,344,272
4670,SAMSUNG ELECTRONICS,SRL4600SD,455,280
4671,HISENSE,HRCD483E,483,282
4672,HAIER,HRF90UC,87,110
4673,Devanti,BF-F-120L-BK,110,173
4674,Kogan,KAM325BMSFA,325,277
4675,Kogan,KAM325BMSFB,325,277
4676,Kogan,KAM325BMSFC,325,277
4677,Kogan,KAM325BMSFD,325,277
4678,Kogan,KAM325BMSF*,325,277
4679,Trade Tested,929576,122,108
4680,SAMSUNG ELECTRONICS,SRL4600BD,455,280
4681,Devanti,BF-D-130L-BK,115,160
4682,Devanti,BF-D-46L-BK,48,122
4683,Linarie,LK335LPINK,328,222
4684,Linarie,LK335LGREEN,328,222
4685,Linarie,LK335LBLUE,328,222
4686,Linarie,LK335LRED,328,222
4687,Linarie,LK335LBLACK,328,222
4688,Linarie,LK335LCREAM,328,222
4689,Linarie,LK335L,328,222
4690,SAMSUNG ELECTRONICS,SRFX9400BG,646,573
4691,SAMSUNG ELECTRONICS,SRF9400BFH,636,569
4692,SAMSUNG ELECTRONICS,SRF9800BFH,809,666
4693,Inalto,IIFF341,341,324
4694,Simmons,SFR-430WX,413,369
4695,Simmons,SFR-320WE,314,347
4696,CHIQ,CCD Series,601,391
4697,LG,GF-LN700MBL,636,520
4698,LG,GF-LN700PL,636,520
4699,LG,GF-LN700*,636,520
4700,Kogan,KAM529LBMFA,529,440
4701,Kogan,KAM529LBMFB,529,440
4702,Kogan,KAM529LBMFC,529,440
4703,Kogan,KAM529LBMFD,529,440
4704,Kogan,KAM529LBMF*,529,440
4705,LG,GF-B705MBL,665,394
4706,Inalto,IIUL316,316,235
4707,NEFF,KI7863D30A,254,276
4708,Artusi,AINT7600IW,449,488
4709,TCL,P525SBW,505,438
4710,TCL,P525SBS,505,438
4711,TCL,P525SBN,505,438
4712,TCL,P525SBG,505,438
4713,TCL,P525SBC,505,438
4714,TCL,P525SBB,505,438
4715,TCL,P525SB*,505,438
4716,LG,GS-V600MBLC,635,550
4717,LG,GS-D600MBLC,635,550
4718,LG,GS-D600PLC,635,550
4719,LG,GS-D600,635,550
4720,SIEMENS,KI86NAD30A,254,276
4721,BOSCH,KIN86AD30A,254,276
4722,TECO,TFF415WNTAH,415,329
4723,TECO,TFF415SNTAH,415,329
4724,TECO,TFF415*NTAH,415,329
4725,LG,GS-B600MBL,655,470
4726,LG,GS-B600PL,655,470
4727,LG,GS-B600MWH,655,470
4728,LG,GS-B600,655,470
4729,LG,GS-VB600PL,655,520
4730,Devanti,BF-D-98L-BK,98,145
4731,Devanti,BF-D-70L-BK,70,139
4732,Kogan,KAH197LTMFA,197,238
4733,Kogan,KAH197LTMFB,197,238
4734,Kogan,KAH197LTMFC,197,238
4735,Kogan,KAH197LTMFD,197,238
4736,Kogan,KAH197LTMFE,197,238
4737,Kogan,KAH197LTMF*,197,238
4738,WESTINGHOUSE,WQE6170BB,609,501
4739,WESTINGHOUSE,WQE6170SB,609,501
4740,WESTINGHOUSE,WQE6170**,609,501
4741,Blaupunkt,5SB892SE0AU,579,442
4742,Artusi,AINT9100FDIW,546,500
4743,Artusi,AINT9100FD,546,500
4744,HISENSE,HRVF240,240,175
4745,Schmick,MSL110 S,110,105
4746,GAGGENAU,RF411306,240,228
4747,RHINO,MSL110 R,110,105
4748,Schmick,MSL110,110,105
4749,RHINO,MSL110,110,105
4750,Throne,MSL330 THRONE,260,187
4751,TCL,P220TMB,197,238
4752,TCL,P220TM*,197,238
4753,HISENSE,HRBM503E,503,174
4754,Schmick,MSL330,260,187
4755,Throne,MSL330,260,187
4756,Altus,ATM347W,346,303
4757,Schmick,MSF230,208,317
4758,Throne,MSF230 THRONE,208,317
4759,Throne,MSF230,208,317
4760,Bertazzoni,REF904FFNXTC-AU,636,588
4761,TECO,TBF85WMTAH,85,184
4762,TECO,TBF85SMTAH,85,184
4763,TECO,TBF85*MTAH,85,184
4764,Schmick,MSF90,90,133
4765,Throne,MSF90 THRONE,90,133
4766,Throne,MSF90,90,133
4767,Inalto,IIFF338,341,362
4768,Inalto,IIUF200,200,255
4769,BEKO,BAF369W,351,188
4770,MITSUBISHI ELECTRIC,MR-HGS421EX-GWH-A,421,345
4771,MITSUBISHI ELECTRIC,MR-HGS421EX-GBK-A,421,345
4772,MITSUBISHI ELECTRIC,MR-HGS421EX-GDS-A,421,345
4773,MITSUBISHI ELECTRIC,MR-HGS421EX series,421,345
4774,MITSUBISHI ELECTRIC,MR-HS421EX-SS-A,421,345
4775,MITSUBISHI ELECTRIC,MR-HS421EX-SDS-A,421,345
4776,MITSUBISHI ELECTRIC,MR-HS421EX series,421,345
4777,Kogan,KAH334LTMFA,334,319
4778,Kogan,KAH334LTMFB,334,319
4779,Kogan,KAH334LTMFC,334,319
4780,Kogan,KAH334LTMFD,334,319
4781,Kogan,KAH334LTMFE,334,319
4782,Kogan,KAH334LTMF*,334,319
4783,Kogan,KAH415LTMFA,415,329
4784,Kogan,KAH415LTMFB,415,329
4785,Kogan,KAH415LTMFC,415,329
4786,Kogan,KAH415LTMFD,415,329
4787,Kogan,KAH415LTMFE,415,329
4788,Kogan,KAH415LTMF*,415,329
4789,Kogan,KAH480LTMFA,480,398
4790,Kogan,KAH480LTMFB,480,398
4791,Kogan,KAH480LTMFC,480,398
4792,Kogan,KAH480LTMFD,480,398
4793,Kogan,KAH480LTMFE,480,398
4794,Kogan,KAH480LTMF*,480,398
4795,SAMSUNG ELECTRONICS,SRFX9450N,619,561
4796,LG,GF-LN500MBL,506,373
4797,LG,GF-LN500PL,506,373
4798,LG,GF-L500MBL,506,373
4799,LG,GF-L500PL,506,373
4800,LG,GF-L500MWH,506,373
4801,LG,GF-L500,506,373
4802,MITSUBISHI ELECTRIC,MR-LX564ER-GSL-A,564,385
4803,MITSUBISHI ELECTRIC,MR-LX564ER-GBK-A,564,385
4804,MITSUBISHI ELECTRIC,MR-LX564ER-GWH-A,564,385
4805,MITSUBISHI ELECTRIC,MR-LX564ER series,564,385
4806,MITSUBISHI ELECTRIC,MR-LX564ER-GDS-A,564,385
4807,MITSUBISHI ELECTRIC,MR-LA635ER-GWH-A,635,441
4808,MITSUBISHI ELECTRIC,MR-LA635ER-GSL-A,635,441
4809,MITSUBISHI ELECTRIC,MR-LA635ER-GBK-A,635,441
4810,MITSUBISHI ELECTRIC,MR-LA635ER series,635,441
4811,MITSUBISHI ELECTRIC,MR-LA635ER-GDS-A,635,441
4812,MITSUBISHI ELECTRIC,MR-LA580ER-GBK-A,580,423
4813,MITSUBISHI ELECTRIC,MR-LA580ER-GWH-A,580,423
4814,MITSUBISHI ELECTRIC,MR-LA580ER-GSL-A,580,423
4815,MITSUBISHI ELECTRIC,MR-LA580ER series,580,423
4816,MITSUBISHI ELECTRIC,MR-LA580ER-GDS-A,580,423
4817,HISENSE,HRBM500TBW,500,348
4818,KOGAN,KAM418CHWZA,418,368
4819,KOGAN,KAM418CHWZB,418,368
4820,KOGAN,KAM418CHWZC,418,368
4821,KOGAN,KAM418CHWZD,418,368
4822,KOGAN,KAM418CHWZ*,418,368
4823,KOGAN,KAM44BEVFGA,44,75
4824,KOGAN,KAM44BEVFGB,44,75
4825,KOGAN,KAM44BEVFGC,44,75
4826,KOGAN,KAM44BEVFGD,44,75
4827,KOGAN,KAM44BEVFG*,44,75
4828,Kogan,KAM93GLAFGA,93,100
4829,Kogan,KAM93GLAFGB,93,100
4830,Kogan,KAM93GLAFGC,93,100
4831,Kogan,KAM93GLAFGD,93,100
4832,Kogan,KAM93GLAFG*,93,100
4833,V-ZUG,CO4T-51140,291,110
4834,Devanti,BF-F-D-90L-BK,80,200
4835,Devanti,BF-F-D-90L-WH,80,200
4836,Devanti,BF-F-D-90L-SR,80,200
4837,V-ZUG,FR4T-53009,213,207
4838,Airflo,AFF85,85,105
4839,Airflo,AFF201,201,155
4840,LG,GT-W6S,394,350
4841,LG,GT-4W,335,290
4842,LG,GT-4,335,290
4843,LG,GT-4S,335,290
4844,LG,GT-4B,335,290
4845,LG,GT-335PL,335,290
4846,LG,GT-4MB,335,290
4847,LG,GT-6SB,395,319
4848,LG,GT-6NB,395,319
4849,LG,GT-6,395,319
4850,LG,GT-6MB,395,319
4851,LG,GT-6S,395,319
4852,LG,GT-5W,375,312
4853,LG,GT-5S,375,312
4854,LG,GT-5B,375,312
4855,LG,GT-375PL,375,312
4856,LG,GT-375WL,375,312
4857,LG,GT-375,375,312
4858,LG,GT-5MB,375,312
4859,HISENSE,HRSBS649SW,649,465
4860,Airflo,AFF130W,107,180
4861,Kogan,KAT412BMFWA,412,249
4862,Kogan,KAT412BMFWB,412,249
4863,Kogan,KAT412BMFWC,412,249
4864,Kogan,KAT412BMFWD,412,249
4865,Kogan,KAT412BMFW*,412,249
4866,LG,GT-3,315,282
4867,LG,GT-3S,315,282
4868,LG,GT-3W,315,282
4869,LG,GT-3B,315,282
4870,LG,GT-315PL,315,282
4871,LG,GT-3MB,315,282
4872,Kogan,KAT412BMFWE,412,249
4873,Kogan,KAT412BMFWF,412,249
4874,Kogan,KAT416BMFNA,416,273
4875,Kogan,KAT416BMFNB,416,273
4876,Kogan,KAT416BMFNC,416,273
4877,Kogan,KAT416BMFND,416,273
4878,Kogan,KAT416BMFNE,416,273
4879,Kogan,KAT416BMFNF,416,273
4880,Kogan,KAT416BMFN*,416,273
4881,Haier,HRF580YH Series,508,354
4882,Haier,HRF580YHS,508,354
4883,Haier,HRF580YHC,508,354
4884,Haier,HRF580YHN,508,354
4885,Airflo,AFF130B,107,180
4886,Airflo,AFF130,107,180
4887,LIEBHERR,SKBes 4360,372,130
4888,LIEBHERR,SKBes 4350,373,120
4889,LIEBHERR,SKBbs 4350,373,120
4890,LIEBHERR,SKB*s 4350,373,120
4891,LG,MP-F324,324,256
4892,LG,*P-F324,324,256
4893,LG,GP-F324PL,324,256
4894,LIEBHERR,SUIK 1510,137,94
4895,HISENSE,HRTF325,326,256
4896,HISENSE,HRTF325S,326,256
4897,HISENSE,HRTF325_series,326,256
4898,LG,MP-L386,386,162
4899,LG,GP-R386PL,386,162
4900,LG,*P-*386,386,162
4901,HISENSE,HRTF206,205,196
4902,HISENSE,HRTF206S,205,196
4903,HISENSE,HRCF301,300,187
4904,HISENSE,HRCF201,200,156
4905,HISENSE,HRCF146,145,122
4906,HISENSE,HRBC137,137,139
4907,Kogan,KAMFSBS551A,551,453
4908,Kogan,KAMFSBS551B,551,453
4909,Kogan,KAMFSBS551C,551,453
4910,Kogan,KAMFSBS551D,551,453
4911,Kogan,KAMFSBS551*,551,453
4912,Dometic,C60SFS CARE,49,89
4913,Dometic,RUC8508X,216,293
4914,Dometic,RUC6508X,180,274
4915,Dometic,RUC5308X,145,199
4916,HELLER,HCFH100,99,152
4917,HELLER,HCFH150,137,175
4918,HELLER,HCFH200,194,198
4919,HELLER,HCFH250,243,216
4920,HELLER,HCFH300,291,223
4921,Hitachi,HRBN6340EXAU,323,321
4922,Kogan,KAMFSBS548A,548,453
4923,Kogan,KAMFSBS548B,548,453
4924,Kogan,KAMFSBS548C,548,453
4925,Kogan,KAMFSBS548D,548,453
4926,Kogan,KAMFSBS548*,548,453
4927,LIEBHERR,SGNPes 4365,277,199
4928,LIEBHERR,SGNPbs 4365,277,199
4929,LIEBHERR,SGNP*s 4365,277,199
4930,LG,GF-B505MBL,530,340
4931,LG,GF-B505PL,530,340
4932,LG,GF-B505BL,530,340
4933,LG,GF-B505,530,340
4934,NAKITA,RR0207,278,236
4935,NAKITA,RR0208,335,288
4936,Kogan,KAMFREN490A,490,426
4937,Kogan,KAMFREN490B,490,426
4938,Kogan,KAMFREN490C,490,426
4939,Kogan,KAMFREN490D,490,426
4940,Kogan,KAMFREN490*,490,426
4941,Airflo,AFF328,335,198
4942,LIEBHERR,SUIG 1514,95,139
4943,Kogan,KAMFRZU238A,238,306
4944,Kogan,KAMFRZU238B,238,306
4945,Kogan,KAMFRZU238C,238,306
4946,Kogan,KAMFRZU238D,238,306
4947,Kogan,KAMFRZU238*,238,306
4948,Living & Co,DD1-33A (TWL242),242,253
4949,Living & Co,DD1-09A (TWL64),64,146
4950,Omega,OSBS505X,505,355
4951,ICELAND,351101,98,208
4952,HISENSE,HRTF206series,205,196
4953,ICELAND,351287,287,303
4954,ICELAND,351198,198,253
4955,ICELAND,351371,371,380
4956,Harbour,HBRKBC185X,185,208
4957,Omega,OSBS583WBX,582,355
4958,BOSCH,KSV33VI3A,324,149
4959,BOSCH,GSN33VI3A,225,245
4960,FISHER & PAYKEL,RS80A1,417,411
4961,FISHER & PAYKEL,RS80AU1,417,411
4962,FISHER & PAYKEL,RS80A series,417,411
4963,ICELAND,354045,45,97
4964,WESTINGHOUSE,WSE6670SA,596,390
4965,WESTINGHOUSE,WSE6670BA,596,390
4966,Artusi,AINT4100,200,193
4967,Artusi,AINT5100,280,227
4968,WESTINGHOUSE,WSE6670 range,596,390
4969,LIEBHERR,ECN 7860,402,309
4970,LIEBHERR,ECBN 7870,402,326
4971,LIEBHERR,ECBN 8872,522,338
4972,ICELAND,354089,90,131
4973,SAMSUNG ELECTRONICS,SRL4200S,427,285
4974,KONKA,KS-48R,48,90
4975,KONKA,KR-50,48,90
4976,KONKA,KS KR,48,90
4977,Haier,HRF680YZC,601,451
4978,Haier,HRF680YZS,601,451
4979,Haier,HRF680YZ series,601,451
4980,Warrior Refrigeration,WCM40G,34,125
4981,Warrior Refrigeration,WCM30G,25,120
4982,Warrior Refrigeration,WCM40,31,125
4983,Living & Co,TWL331 (DL1-45A),331,136
4984,KONKA,KHF-143W2,137,175
4985,SAMSUNG ELECTRONICS,SRL4200B,427,285
4986,NAKITA,CR0551,96,187
4987,KONKA,KHF-202W2,194,198
4988,KONKA,KHF-300W2,291,223
4989,BOSCH,KGN36VI3AA,326,290
4990,Robinhood,RHCF100,98,187
4991,Robinhood,RHCF200,198,229
4992,HELLER,HBF117,117,97
4993,Living & Co,TWL413 (FC2-541D),413,328
4994,Blaupunkt,5CR288FE0AU,242,280
4995,CHIQ,CTM200NSS5E,202,180
4996,WESTINGHOUSE,WQE5600BB,564,406
4997,WESTINGHOUSE,WQE5600SS,564,406
4998,WESTINGHOUSE,WQE5600**,564,406
4999,SHEFFIELD,PLA48L,48,90
5000,CHIQ,CBC064BG,64,112
5001,CHIQ,CBC063SG,64,112
5002,CHIQ,CBC06***,64,112
5003,CHIQ,CBC094BG,94,122
5004,CHIQ,CBC093SG,94,122
5005,CHIQ,CBC09***,94,122
5006,CHIQ,CBC233BG,233,257
5007,CHIQ,CBC232SG,233,257
5008,CHIQ,CSH121NBS,122,187
5009,CHIQ,CSH122NW,122,187
5010,CHIQ,CSH120NSS,122,187
5011,CHIQ,CSH119NB,122,187
5012,CHIQ,CSH1**N**,122,187
5013,CHIQ,CSR241DW,241,130
5014,CHIQ,CSR240DBS,241,130
5015,CHIQ,CSR239DSS,241,130
5016,CHIQ,CSR238DB,241,130
5017,CHIQ,CSR2*****,241,130
5018,CHIQ,CSH166NW,166,193
5019,CHIQ,CSH165NSS,166,193
5020,CHIQ,CSH16****,166,193
5021,LIEBHERR,CBNsdh 7653,423,228
5022,LG,GS-B599PL,664,385
5023,LG,GS-B599MBL,664,385
5024,LG,GS-B599,664,385
5025,LG,GS-N599PL,641,415
5026,LG,GS-N599MBL,641,415
5027,LG,GS-N599,641,415
5028,Smeg,FAB28RDGC5AU,270,206
5029,Smeg,FAB28RDGM5AU,270,206
5030,Smeg,FAB28RDYVC5AU,270,206
5031,Smeg,FAB28LBL5AU,270,206
5032,Smeg,FAB28RBL5AU,270,206
5033,Smeg,FAB28LRD5AU,270,206
5034,Smeg,FAB28RRD5AU,270,206
5035,Smeg,FAB28LCR5AU,270,206
5036,Smeg,FAB28RCR5AU,270,206
5037,Smeg,FAB28LPG5AU,270,206
5038,Smeg,FAB28RPG5AU,270,206
5039,Smeg,FAB28LPB5AU,270,206
5040,Smeg,FAB28***5AU,270,206
5041,Smeg,FAB28RPB5AU,270,206
